   103.126.52.180  138466  0.0              (Sydney, New South Wales, AU, OC) as138466.anchors.atlas.ripe.net                                                                     
   103.126.52.179  138466  0.242            (Sydney, New South Wales, AU, OC) vl203-bond0-pauseq4rbdr2.datamossa.io                                                               
   103.126.52.193  138466  0.365            (Sydney, New South Wales, AU, OC) vl129-dp0s18-pauseq4sbdr5.datamossa.io                                                              
   103.126.53.163  138466  0.839            (Sydney, New South Wales, AU, OC) vl129-et1-pauseq4rbdr3.datamossa.io                                                                 
╭─ 45.127.172.162  4788    0.954                        (Sydney, NSW, AU, OC) 55850.syd.equinix.com                                                                               
S (4788, 55850)  tasman-global-access-tga-cable ✓ || southern-cross-cable-network-sccn ✓ || hawaiki ✘
╰─ 103.26.202.198  55850   24.807                (Auckland, Auckland, NZ, OC) et-0-0-3.esy3-p-1.as55850.net                                                                       
   116.251.185.234 55850   24.577                     (Tauranga, BOP, NZ, OC) et-0-0-10.atc-p-1.as55850.net                                                                       
   116.251.187.224 55850   24.529                (Auckland, Auckland, NZ, OC) ip-116-251-187-224.kinect.net.nz                                                                    
   116.251.187.225 55850   24.188                (Auckland, Auckland, NZ, OC) ip-116-251-187-225.kinect.net.nz                                                                    
   185.121.168.251 61138   24.477               (Newmarket, Auckland, NZ, OC) nz-akl-as61138.anchors.atlas.ripe.net                                                               
