   45.142.246.158  57578   0.0                       (Moscow, Moscow, RU, EU) user-45-142-246-158.mow01.ru.misaka.io                                                              
   ***             *       -inf                                           *** *                                                                                                   
   45.131.68.2     57578   0.36                      (Moscow, Moscow, RU, EU) spine3.mow01.ru.misaka.io                                                                           
   102.130.51.86   *       0.297                     (Moscow, Moscow, RU, EU) e53-10.cr1a.mmts9.mow1.ru.917.as                                                                    
╭─ 45.11.107.54    969     0.709                     (Moscow, Moscow, RU, EU) gw-as9002.cr1a.mmts9.mow1.ru.917.as                                                                 
LHL (969, 9002)  
╰─ 87.245.233.56   9002    17.836                        (Warsaw, MZ, PL, EU) ae0-13.RT.LDC.WAW.PL.retn.net                                                                       
   80.231.124.38   6453    18.131                   (Warsaw, Mazovia, PL, EU) ix-ae-35-0.tcore1.w1t-warsaw.as6453.net                                                             
   195.219.188.42  24724   18.281                        (None, None, PL, EU) *                                                                                                   
   212.91.9.81     24724   35.927                        (None, None, PL, EU) rev-212.91.9.81.atman.pl                                                                            
   193.111.37.106  20555   33.965                        (None, None, PL, EU) z-atman-f.wsisiz.edu.pl                                                                             
   213.135.44.133  20555   36.296                        (None, None, PL, EU) voices-lan-wit.wsisiz.edu.pl                                                                        
   213.135.49.134  20555   37.306                   (Warsaw, Mazovia, PL, EU) pl-waw-as20555.anchors.atlas.ripe.net                                                               
