   84.88.18.254    13041   0.0                 (Barcelona, Catalonia, ES, EU) anchor-anella.cesca.cat                                                                             
   84.88.18.253    13041   0.701               (Barcelona, Catalonia, ES, EU) anella-anchor.cesca.cat                                                                             
   130.206.214.97  766     9.218                     (Madrid, Madrid, ES, EU) anella-ppal-as13041.ethtrunk11-81.telmad.rt3.mad.red.rediris.es                                     
   130.206.245.49  766     9.192                         (None, None, ES, EU) TELMAD.RT3.ETHTRUNK3.telmad.rt1.mad.red.rediris.es                                                  
   ***             *       -inf                                           *** *                                                                                                   
   130.117.0.217   174     10.102                         (Madrid, M, ES, EU) be2475.ccr32.mad05.atlas.cogentco.com                                                               
╭─ 154.54.57.242   174     14.536                       (Valencia, V, ES, EU) be3356.ccr31.vlc02.atlas.cogentco.com                                                               
S&T (174)  
╰─ 154.54.72.66    174     25.843                    (Marseille, PAC, FR, EU) be2775.ccr31.mrs02.atlas.cogentco.com                                                               
   154.54.61.74    174     30.402        (Lyon, Auvergne-Rhône-Alpes, FR, EU) be3127.rcr21.lys01.atlas.cogentco.com                                                               
   149.6.119.2     174     45.151    (Vénissieux, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
   5.180.57.66     56987   44.166    (Collonges-au-Mont-d'Or, Auvergne-Rhône-Alpes, FR, EU) 01-xe.lns01.lyn.abaclouda.net                                                                       
   5.180.57.81     56987   42.434        (Lyon, Auvergne-Rhône-Alpes, FR, EU) fr-lio-as56987.anchors.atlas.ripe.net                                                               
