   202.142.143.178 4764    0.0                  (Melbourne, Victoria, AU, OC) be3.bng1.vdc03.mel.aussiebb.net                                                                     
   202.142.143.177 4764    0.79                 (Melbourne, Victoria, AU, OC) gi0-0-0-8.acc3.530col.vic.aussiebb.net                                                              
   10.241.6.22     *       1.013                                          ***                                                                                                     
   10.241.4.228    *       1.495                                          ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   183.177.61.1    *       0.993                (Melbourne, Victoria, AU, OC) 4826.mel.equinix.com                                                                                
   ***             *       -inf                                           *** *                                                                                                   
   103.1.77.70     *       13.395               (Melbourne, Victoria, AU, OC) be202.lsr01.stck.vic.vocus.network                                                                  
   103.1.76.148    4826    13.214                        (None, None, AU, OC) be802.lsr01.dody.nsw.vocus.network                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   114.31.192.71   4826    12.787           (Sydney, New South Wales, AU, OC) be1.bdr02.syd11.nsw.vocus.network                                                                   
   114.31.201.91   4826    12.728           (Sydney, New South Wales, AU, OC) 91.201.31.114.core.vocus.network                                                                    
