   203.119.111.139 4608    0.0                 (Brisbane, Queensland, AU, OC) anchor.apnic.net                                                                                    
   203.119.111.131 4608    1.346               (Brisbane, Queensland, AU, OC) vl-1705.nxcs2.hosted.au.apnic.net                                                                   
   203.119.104.29  4608    0.517                      (Brisbane, QLD, AU, OC) te-0-1-5.nxgw2.bne.apnic.net                                                                        
   203.119.104.81  4608    0.649                   (Hope Island, QLD, AU, OC) po-11-921.nxgw1.bne.apnic.net                                                                       
   139.130.130.193 1221    1.154               (Brisbane, Queensland, AU, OC) gigabitethernet0-0-0-17-103.cha-edge701.brisbane.telstra.net                                        
   203.50.237.22   1221    1.117               (Brisbane, Queensland, AU, OC) tengige0-0-0-12.cha-dlr20.brisbane.telstra.net                                                      
   203.50.44.56    1221    1.043 (2.773)          (Brisbane, Queensland, AU, OC) bundle-ether30.cha-core30.brisbane.telstra.net                                                      
   203.50.13.157   1221    15.815           (Sydney, New South Wales, AU, OC) bundle-ether5.hay-core30.sydney.telstra.net                                                         
   203.50.13.133   1221    26.336               (Melbourne, Victoria, AU, OC) bundle-ether3.cla-core30.melbourne.telstra.net                                                      
   203.50.13.125   1221    26.916               (Melbourne, Victoria, AU, OC) bundle-ether2.exi-core30.melbourne.telstra.net                                                      
   203.50.11.199   1221    26.761                    (Melbourne, VIC, AU, OC) bundle-ether1.lon-edge903.melbourne.telstra.net                                                     
   203.48.8.50     1221    27.602               (Melbourne, Victoria, AU, OC) tel4239905.lnk.telstra.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   203.41.0.51     1221    27.8                 (Melbourne, Victoria, AU, OC)                                                                                                     
