   63.222.191.5    3491    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   63.222.191.1    3491    0.774            (Sydney, New South Wales, AU, OC)                                                                                                     
   49.255.250.53   4826    0.75                         (Sydney, NSW, AU, OC) Fo-0-2-1-0-701.bdr01.syd03.nsw.VOCUS.net.au                                                         
   ***             *       -inf                                           *** *                                                                                                   
   114.31.192.79   4826    0.81             (Sydney, New South Wales, AU, OC) be2.bdr04.syd03.nsw.vocus.network                                                                   
   138.217.99.77   1221    0.736            (Sydney, New South Wales, AU, OC) ae19.alx-edge411.sydney.telstra.net                                                                 
   203.50.12.130   1221    1.085            (Sydney, New South Wales, AU, OC) bundle-ether50.hay-core30.sydney.telstra.net                                                        
   203.50.13.133   1221    12.93                (Melbourne, Victoria, AU, OC) bundle-ether3.cla-core30.melbourne.telstra.net                                                      
   203.50.13.125   1221    12.644               (Melbourne, Victoria, AU, OC) bundle-ether2.exi-core30.melbourne.telstra.net                                                      
   203.50.11.199   1221    12.728                    (Melbourne, VIC, AU, OC) bundle-ether1.lon-edge903.melbourne.telstra.net                                                     
   203.48.8.50     1221    13.212               (Melbourne, Victoria, AU, OC) tel4239905.lnk.telstra.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   203.41.0.51     1221    13.155               (Melbourne, Victoria, AU, OC)                                                                                                     
