   202.142.143.178 4764    0.0                  (Melbourne, Victoria, AU, OC) be3.bng1.vdc03.mel.aussiebb.net                                                                     
   202.142.143.177 4764    0.666                (Melbourne, Victoria, AU, OC) gi0-0-0-8.acc3.530col.vic.aussiebb.net                                                              
   10.241.6.22     *       0.918                                          ***                                                                                                     
   10.241.4.228    *       1.823                                          ***                                                                                                     
   10.241.4.151    *       0.791                                          ***                                                                                                     
   139.130.66.153  1221    1.588                (Melbourne, Victoria, AU, OC) bundle-ether67.lon-edge903.melbourne.telstra.net                                                    
   203.50.11.198   1221    1.701                     (Melbourne, VIC, AU, OC) bundle-ether13.exi-core10.melbourne.telstra.net                                                     
   203.50.13.124   1221    2.555                (Melbourne, Victoria, AU, OC) bundle-ether2.cla-core30.melbourne.telstra.net                                                      
   203.50.13.132   1221    13.827           (Sydney, New South Wales, AU, OC) bundle-ether3.hay-core30.sydney.telstra.net                                                         
   203.50.11.173   1221    13.016                       (Sydney, NSW, AU, OC) bundle-ether1.ken-edge903.sydney.telstra.net                                                        
   203.48.8.170    1221    12.955           (Sydney, New South Wales, AU, OC) tel4239951.lnk.telstra.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   203.41.0.43     1221    13.123           (Sydney, New South Wales, AU, OC)                                                                                                     
