   202.165.66.5    137409  0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   202.165.66.1    137409  0.393            (Sydney, New South Wales, AU, OC)                                                                                                     
   100.64.1.9      *       0.332                                          ***                                                                                                     
   206.148.24.116  7578    0.412            (Sydney, New South Wales, AU, OC)                                                                                                     
   206.148.24.112  7578    0.462            (Sydney, New South Wales, AU, OC)                                                                                                     
   206.148.24.106  7578    0.342            (Sydney, New South Wales, AU, OC)                                                                                                     
   124.19.71.1     7474    1.44             (Sydney, New South Wales, AU, OC)                                                                                                     
   61.88.33.1      7474    3.603            (Sydney, New South Wales, AU, OC)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   124.19.61.161   7474    1.374                        (Sydney, NSW, AU, OC) hu0-7-1-0.22btpr01.optus.net.au                                                                     
   110.145.210.197 1221    2.293                        (Sydney, NSW, AU, OC) Bundle-Ether46.ken-edge903.sydney.telstra.net                                                       
   203.48.8.170    1221    1.992            (Sydney, New South Wales, AU, OC) tel4239951.lnk.telstra.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   203.41.0.43     1221    1.955            (Sydney, New South Wales, AU, OC)                                                                                                     
