   103.2.186.195   45345   0.0               (Nouméa, South Province, NC, OC) nc-nou-as45345.anchors.atlas.ripe.net                                                               
   103.2.186.221   45345   0.563             (Nouméa, South Province, NC, OC) gw-ipv4-hosting-1010-mx204-f10.as45345.net                                                          
   202.87.128.198  45345   0.786                          (Noumea, S, NC, OC) *                                                                                                   
╭─ 202.87.128.197  18200   1.182             (Nouméa, South Province, NC, OC)                                                                                                     
S (18200, 4826)  gondwana-1 👍
╰─ 123.103.197.21  4826    22.841           (Sydney, New South Wales, AU, OC) ip-21.197.103.123.vocus.net.au                                                                      
   123.103.197.21  4826    22.841           (Sydney, New South Wales, AU, OC) ip-21.197.103.123.vocus.net.au                                                                      
   ***             *       -inf                                           *** *                                                                                                   
   114.31.192.79   4826    23.263           (Sydney, New South Wales, AU, OC) be2.bdr04.syd03.nsw.vocus.network                                                                   
   138.217.99.77   1221    22.938           (Sydney, New South Wales, AU, OC) ae19.alx-edge411.sydney.telstra.net                                                                 
   203.50.12.130   1221    24.021           (Sydney, New South Wales, AU, OC) bundle-ether50.hay-core30.sydney.telstra.net                                                        
   203.50.11.173   1221    23.619                       (Sydney, NSW, AU, OC) bundle-ether1.ken-edge903.sydney.telstra.net                                                        
   203.48.8.170    1221    23.301           (Sydney, New South Wales, AU, OC) tel4239951.lnk.telstra.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   203.41.0.43     1221    23.478           (Sydney, New South Wales, AU, OC)                                                                                                     
