   103.179.37.157  151332  0.0                  (Melbourne, Victoria, AU, OC)                                                                                                     
   103.179.37.156  151332  0.432                (Melbourne, Victoria, AU, OC)                                                                                                     
   203.192.83.253  7545    1.427                (Melbourne, Victoria, AU, OC) ip-253-83-192-203.static.pipenetworks.com                                                           
   203.220.216.69  9942    1.817                (Melbourne, Victoria, AU, OC) au-vi-1015-ipg-221-bundle-ether28.tpgi.com.au                                                       
   27.32.160.3     7545    1.331                        (Sydney, NSW, AU, OC) 27-32-160-3.static.tpgi.com.au                                                                      
   202.7.162.202   7545    1.869                (Melbourne, Victoria, AU, OC) 202-7-162-202.tpgi.com.au                                                                           
   139.130.48.225  1221    2.162                (Melbourne, Victoria, AU, OC) bundle-ether70.lon-edge903.melbourne.telstra.net                                                    
   203.50.11.198   1221    1.911                     (Melbourne, VIC, AU, OC) bundle-ether13.exi-core10.melbourne.telstra.net                                                     
   203.50.13.124   1221    2.72                 (Melbourne, Victoria, AU, OC) bundle-ether2.cla-core30.melbourne.telstra.net                                                      
   203.50.13.132   1221    12.628           (Sydney, New South Wales, AU, OC) bundle-ether3.hay-core30.sydney.telstra.net                                                         
   203.50.11.173   1221    12.149                       (Sydney, NSW, AU, OC) bundle-ether1.ken-edge903.sydney.telstra.net                                                        
   203.48.8.170    1221    12.544           (Sydney, New South Wales, AU, OC) tel4239951.lnk.telstra.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   203.41.0.43     1221    12.737           (Sydney, New South Wales, AU, OC)                                                                                                     
