   96.126.70.90    21659   0.0               (Moncton, New Brunswick, CA, NA) 96-126-70-90.apbx.ca                                                                                
   96.126.70.1     21659   0.455             (Moncton, New Brunswick, CA, NA) 96-126-70-1.apbx.ca                                                                                 
   98.143.249.17   3367    1.301             (Moncton, New Brunswick, CA, NA) enova-98-143-249-17.e-novations.ca                                                                  
   209.51.184.133  6939    1.554             (Moncton, New Brunswick, CA, NA) port-channel2.core2.yqm1.he.net                                                                     
   184.104.192.153 6939    13.354            (Côte-Saint-Luc, Quebec, CA, NA) 100ge0-75.core1.ymq1.he.net                                                                         
   216.66.41.245   6939    22.32                   (Montréal, Quebec, CA, NA)                                                                                                     
   64.125.27.163   6461    22.546                      (Montreal, QC, CA, NA) ae0.mpr2.yul2.ca.zip.zayo.com                                                                       
   64.125.23.70    6461    22.808                       (Toronto, ON, CA, NA) ae4.mpr1.tor3.ca.zip.zayo.com                                                                       
   64.125.20.75    6461    43.682                (Winnipeg, Manitoba, CA, NA) ae20.mpr1.ywg2.ca.zip.zayo.com                                                                      
   64.125.22.216   6461    43.572                (Winnipeg, Manitoba, CA, NA) ae2.mpr1.ywg1.ca.zip.zayo.com                                                                       
   207.245.202.225 6461    40.745                (Winnipeg, Manitoba, CA, NA)                                                                                                     
   205.236.99.242  400442  40.877                (Winnipeg, Manitoba, CA, NA)                                                                                                     
   23.133.168.197  400442  41.076                (Winnipeg, Manitoba, CA, NA)                                                                                                     
